,SiteCode,SiteName,Latitude,Longitude,LocalAuthorityID,SiteClassification,HeadHeight,ToRoad,SiteLocationType,Indoor,SitePhotoURL,SiteDescription,SleepTime,BatteryStatus,BatteryPercentage,SignalStrength,SensorsHealthStatus,OverallStatus,DeviceCode,StartDate,EndDate,LastCommunication,InputPowerError,InputPowerCurrent,InputPowerVoltage,InputBatteryError,InputBatteryVoltage,ChargingStatus,SignalQuality,BatterySleepMultiplier,WeatherError,PMError,NO2Error,LatestINO2Value,LatestINO2Index,LatestINO2IndexSource,LatestIPM10Value,LatestIPM10NUMValue,LatestIPM1Value,LatestIPM1NUMValue,LatestIPM25Value,LatestIPM25Index,LatestIPM25IndexSource,LatestIPM25NUMValue,LatestRELHUMValue,LatestTEMPERATValue,SiteActive,SiteGroup,PowerTag,Enabled,OtherTags,OrganisationName,SponsorName,HourlyBulletinEnd
10,CLDP0011,Westhorne Avenue (reference co-location),51.456356048583984,0.0407250002026557,,Urban Background,2.5999999046325684,12.0,,0,https://api.breathelondon.org/assets/images/CLDP0011.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,ANMQY861,2021-02-10T11:11:30.580Z,,2023-02-05T21:00:52.190Z,0,108,5.201070308685303,0,4.087344169616699,4,28,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,N,"Deployed, Greenwich, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
11,CLDP0012,Broadway Theatre Lewisham,51.44565963745117,-0.0203667003661394,,,3.700000047683716,39.0,,0,https://api.breathelondon.org/assets/images/CLDP0012.jpg,"At the end of November 2021 the reference monitoring site housed within the Broadway Theatre, which had been running since 1996,  had to be removed due to extensive long term refurbishment of the theatre.  Since no other closeby location could be found for the reference monitoring, it was moved just round the corner to Laurence House, and this Breathe London Node installed on the wall opposite the original inlet.  This will help continue the valuable long term data set from this location.",1.0,normal,98.0,excellent,nominal,healthy,AVPN29JP,2021-11-24T10:50:39.333Z,,2023-02-05T21:22:36.770Z,0,96,5.189040184020996,0,4.097312927246094,4,31,1,0,0,0,59.0,1.0,Measurement,,,,,9.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Lewisham, Quid Pro Quo, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
12,CLDP0013,Slade Green (reference co-location),51.46598434448242,0.1848771274089813,,Urban Background,4.0,58.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0013.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,AJ1085D4,2021-02-12T09:03:40.863Z,,2023-02-05T20:45:50.467Z,0,85,5.180870532989502,0,4.090667247772217,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Bexley, Deployed, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
13,CLDP0014,Ley Street (reference co-location),51.56948471069336,0.0829074755311012,,Urban Background,2.0,53.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0014.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,900.0,normal,99.0,excellent,nominal,healthy,AKPQ6WXH,2021-02-19T15:41:16.790Z,,2023-02-05T20:38:25.567Z,0,0,0.0,0,4.149374008178711,7,28,1,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, Redbridge, Solar900, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
14,CLDP0015,Marylebone Road - Mains (reference co-location),51.52254104614258,-0.1545899957418441,,Kerbside,3.0,1.5,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0015.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,300.0,normal,99.0,excellent,nominal,healthy,APW556XZ,2021-02-12T13:14:11.743Z,,2023-02-05T21:06:22.570Z,0,71,5.184830188751221,0,4.134974479675293,4,25,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, V1, Westminster",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
15,CLDP0016,Marylebone Road - Solar (reference co-location),51.52254104614258,-0.1545899957418441,,Kerbside,3.0,1.2000000476837158,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0016.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,900.0,normal,99.0,excellent,nominal,healthy,ATK6YRXJ,2021-02-12T13:14:07.847Z,,2023-02-05T21:17:58.057Z,0,113,5.181110382080078,0,4.123897552490234,4,27,1,0,0,0,,,,,,,,,,,,,,1,GLA,Solar,Y,"Deployed, Solar900, V1, Westminster",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
16,CLDP0018,Blackwall Tunnel Approach (reference co-location),51.515045166015625,-0.0084184929728508,,Roadside,2.609999895095825,4.199999809265137,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0018.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,A4MBTCFZ,2021-02-16T10:57:36.523Z,,2023-02-05T20:13:10.770Z,0,94,5.181000232696533,0,4.09509801864624,4,31,1,0,0,0,67.0,1.0,Measurement,,,,,12.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Tower Hamlets, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
17,CLDP0020,A2 Falconwood (reference co-location),51.456298828125,0.085606001317501,,Roadside,2.5999999046325684,3.5,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0020.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,A5DN1GBC,2021-07-20T13:00:00.000Z,,2023-02-05T20:16:23.147Z,0,106,5.2127604484558105,0,4.088451862335205,4,28,1,0,0,0,60.0,1.0,Measurement,,,,,8.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Greenwich, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
18,CLDP0021,John Harrison Way (reference co-location),51.4937744140625,0.0107796238735318,,Roadside,2.5,7.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0021.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,AFM7BS07,2021-02-16T12:13:23.410Z,,2023-02-05T20:39:11.127Z,0,111,5.208899974822998,0,4.097312927246094,4,30,1,0,0,0,71.0,2.0,Measurement,,,,,8.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Greenwich, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
19,CLDP0022,Elephant & Castle (reference co-location),51.49315643310547,-0.1015270352363586,,Urban Background,2.5,43.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0022.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,AKHNJ65X,2021-02-17T12:06:44.483Z,,2023-02-05T20:50:24.643Z,0,92,5.189020156860352,0,4.109497547149658,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, Southwark, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
20,CLDP0023,Beddington Lane North (reference co-location),51.389286041259766,-0.141661524772644,,Roadside,2.5999999046325684,4.300000190734863,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0023.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,AT5WBWQG,2021-02-17T16:14:53.613Z,,2023-02-05T21:16:58.593Z,0,108,5.169040203094482,0,4.0773749351501465,4,27,1,0,0,0,43.0,1.0,Measurement,,,,,10.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Sutton, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
21,CLDP0024,Burrage Grove (reference co-location),51.49053192138672,0.0740030035376548,,Urban Background,2.5,10.0,,0,https://api.breathelondon.org/assets/images/CLDP0024.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,99.0,excellent,nominal,healthy,AYP1BBCX,2021-02-23T11:02:57.547Z,,2023-02-05T19:26:48.970Z,0,101,5.184750080108643,0,4.151589393615723,4,28,1,0,0,0,59.0,1.0,Measurement,,,,,12.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Greenwich, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
22,CLDP0025,Rainham (reference co-location),51.52078628540039,0.205460712313652,,Roadside,2.5999999046325684,8.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0025.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,98.0,excellent,nominal,healthy,A4Y5T1N4,2021-02-23T13:46:57.410Z,,2023-02-05T20:14:00.217Z,0,118,5.21707010269165,0,4.071836471557617,4,31,1,0,0,0,56.0,1.0,Measurement,,,,,12.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Havering, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
23,CLDP0026,Horseferry Road (reference co-location),51.49468231201172,-0.1319379955530166,,Urban Background,2.5999999046325684,16.700000762939453,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0026.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,99.0,excellent,nominal,healthy,A6Q4BM26,2021-02-19T11:29:37.057Z,,2023-02-05T20:18:15.270Z,0,107,5.177040100097656,0,4.139405250549316,4,24,1,0,0,0,95.0,2.0,Measurement,,,,,8.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, V1, Westminster",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
24,CLDP0027,North Kensington (reference co-location),51.52047729492188,-0.2126479744911193,,Urban Background,3.299999952316284,7.199999809265137,,0,https://api.breathelondon.org/assets/images/CLDP0027.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,1.0,normal,99.0,excellent,nominal,healthy,APM2HW6P,2022-06-21T09:00:00.000Z,,2023-02-05T21:04:15.857Z,0,99,5.188810348510742,0,4.165989398956299,4,25,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"Deployed, GLA, Kensington and Chelsea, Replacement, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
25,CLDP0028,Brent Ikea (reference co-location),51.55247497558594,-0.258089005947113,,Roadside,3.0,5.0,Co-Location,0,https://api.breathelondon.org/assets/images/CLDP0028.jpg,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,300.0,normal,99.0,excellent,nominal,healthy,AYJ7BKMD,2021-02-19T14:26:21.050Z,,2023-02-05T21:25:07.697Z,0,0,0.0,0,4.140512943267822,7,31,1,0,0,0,90.0,2.0,Measurement,,,,,12.0,1.0,Measurement,,,,1,GLA,Solar,Y,"Brent, Deployed, Solar900, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
26,CLDP0029,Honor Oak Park - Solar (reference co-location),51.45206451416016,-0.0468459986150264,,Urban Background,,,,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/10868e81f2178e22e614ea52363177514cf4c1d7061338e9c42f44d4a12c4ad4,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,900.0,normal,99.0,excellent,nominal,healthy,AFZHPFH3,2021-02-03T00:10:52.357Z,,2023-02-05T20:25:41.920Z,0,0,0.0,0,4.1526970863342285,7,31,1,0,0,0,54.0,1.0,Measurement,,,,,20.0,2.0,Trigger,,,,1,GLA,Unknown,Y,"Deployed, Lewisham, Solar900, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
27,CLDP0030,Honor Oak Park Mains(reference co-location),51.45206451416016,-0.0468459986150264,,Urban Background,5.5,80.0,Co-Location,0,https://clarity-davion-attachment.s3.us-west-2.amazonaws.com/be58f1ce8ce0c1b42c143e932b2d972042becf2aa215c2372413ee14cb69f73b,This is one of around twenty Breathe London reference co-location sites.\r\n\r\nCo-locating Nodes at reference sites helps us provide real-time correction to the rest of the Breathe London network.\r\n\r\nYou can read more about this on our Network Accuracy page.,,normal,99.0,excellent,,healthy,ARNKZ5XY,2021-04-16T12:02:11.880Z,,2023-02-05T21:12:28.153Z,0,105,5.2010602951049805,0,4.147158622741699,4,31,1,0,0,0,54.0,1.0,Measurement,,,,,15.0,1.0,Measurement,,,,1,GLA,Mains,Y,"Deployed, Lewisham, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
28,CLDP0032,Melcombe Primary School,51.48638153076172,-0.2209289968013763,,,2.799999952316284,4.5,School,0,https://api.breathelondon.org/assets/images/CLDP0032.jpg,Melcombe Primary School is a two-form entry school located within the London Borough of Hammersmith & Fulham. The school was awarded a Healthy Schools silver award in 2019 by the National Healthy Schools Programme.,1.0,normal,99.0,excellent,nominal,healthy,A2GY6B2R,2021-05-26T15:01:46.283Z,,2023-02-05T20:05:38.163Z,0,108,5.200990200042725,0,4.183712482452393,4,29,1,0,0,0,81.0,2.0,Measurement,,,,,11.0,1.0,Measurement,,,,1,GLA,Mains,Y,"CHILL, Deployed, GLA, Hammersmith and Fulham, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
29,CLDP0033,William Hogarth School,51.48821258544922,-0.2557049989700317,,,2.400000095367432,52.0,School,0,https://api.breathelondon.org/assets/images/CLDP0033.jpg,"The William Hogarth School is located just north of the A4 in Chiswick in the London Borough of Hounslow. Sitting at the heart of the local community, the school’s atmosphere and ethos reflect the rich cultural diversity that surrounds it.",300.0,normal,99.0,excellent,nominal,healthy,A3TZV7XD,2021-06-09T09:20:15.450Z,,2023-02-05T20:06:29.957Z,0,0,0.0,0,4.134974479675293,7,29,1,0,0,0,90.0,2.0,Measurement,,,,,16.0,1.0,Measurement,,,,1,GLA,Solar,Y,"CHILL, Deployed, GLA, Hounslow, Solar300, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
30,CLDP0034,Ark Byron Primary Academy,51.50667572021485,-0.2627780139446258,,,3.0,15.0,School,0,https://api.breathelondon.org/assets/images/CLDP0034.jpg,"\r\nArk Byron Primary Academy is located on the edge of Acton Park in the London Borough of Ealing. The Academy has six year groups, ranging from Reception to Year 5 and a total of 360 pupils. Their motto “Courage to reach for the sky” reflects the high aspirations they have for each pupil, encouraging them to aim high in everything that they do. ",1.0,normal,99.0,excellent,nominal,healthy,AJVF4X57,2022-01-07T12:00:00.000Z,,2023-02-05T20:48:48.023Z,0,84,5.153100490570068,0,4.117251396179199,4,31,1,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"CHILL, Deployed, Ealing, GLA, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
31,CLDP0035,Christopher Hatton Primary School,51.52254104614258,-0.1120700016617775,,,2.400000095367432,9.0,School,0,https://api.breathelondon.org/assets/images/CLDP0035.jpg,"Christopher Hatton is a happy, ambitious and inclusive school reflecting the rich diversity of families in its area. Its curriculum emphasises the environment and the Rights of the Child,",1.0,recoveryMode,16.0,excellent,nominal,needsAttention,A8XTXZFW,2021-05-28T09:25:23.263Z,,2023-01-25T22:12:34.990Z,0,0,0.0,0,3.3518435955047607,7,31,16,0,0,0,,,,,,,,,,,,,,1,GLA,Mains,Y,"CHILL, Camden, Deployed, GLA, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
32,CLDP0036,St Annes RC Primary School,51.485633850097656,-0.119157001376152,,,2.900000095367432,14.600000381469728,School,0,https://api.breathelondon.org/assets/images/CLDP0036.jpg,"St Anne's R.C. lies at the centre of a vibrant local community in Vauxhall, south London. Around thirty languages are represented by it's 400 pupils. The school has close links to local parishes and communities and the teachings of the Catholic Church underpin everything the school does.",1.0,recoveryMode,58.0,excellent,nominal,needsAttention,A8YJ320G,2021-05-26T10:29:55.130Z,,2023-02-05T20:23:56.263Z,0,0,0.0,0,3.5844566822052,7,31,16,0,0,0,71.0,2.0,Measurement,,,,,9.0,1.0,Measurement,,,,1,GLA,Mains,Y,"CHILL, Deployed, GLA, Lambeth, V1",Mayor of London,Mayor of London,Feb  5 2023  8:00PM
